ticker,direction,ignition_date,ignition_sigma,rel_volume,consol_days,max_quiet_sigma,hold,range_lo,range_hi,close_loc,volume_ratio,consol_excess,votes,lean,earnings,reason
TOST,-1.0,2025-09-22,-2.996,3.65,3,0.844,1.937,36.61,39.09,0.097,0.332,-0.036,3,Goes,no,"Down 3.0 sigma on 3.6x volume, 3 quiet days holding 194%. For: closed at the bottom of its range, volume dried up, lagged SPY. Against: nothing."
HESM,-1.0,2025-09-19,-6.832,5.265,4,0.67,1.121,31.908,32.644,0.175,0.331,-0.012,3,Goes,no,"Down 6.8 sigma on 5.3x volume, 4 quiet days holding 112%. For: closed at the bottom of its range, volume dried up, lagged SPY. Against: nothing."
HAL,1.0,2025-09-23,3.738,3.03,2,0.588,1.235,23.622,24.543,0.596,0.474,0.022,2,Leans goes,no,"Up 3.7 sigma on 3.0x volume, 2 quiet days holding 123%. For: volume dried up, beat SPY. Against: closed away from the top of its range."
AS,-1.0,2025-09-22,-3.457,4.042,3,0.835,1.454,33.26,35.64,0.429,0.451,0.01,1,Leans stalls,no,"Down 3.5 sigma on 4.0x volume, 3 quiet days holding 145%. For: volume dried up. Against: closed away from the bottom of its range, beat SPY."
BMA,1.0,2025-09-22,4.491,4.539,3,0.776,1.013,45.135,51.853,0.059,0.601,0.02,1,Leans stalls,no,"Up 4.5 sigma on 4.5x volume, 3 quiet days holding 101%. For: beat SPY. Against: closed away from the top of its range, volume stayed heavy."
COMP,-1.0,2025-09-22,-6.249,6.481,3,0.396,0.98,7.68,8.23,0.491,0.392,0.023,1,Leans stalls,no,"Down 6.2 sigma on 6.5x volume, 3 quiet days holding 98%. For: volume dried up. Against: closed away from the bottom of its range, beat SPY."
YPF,1.0,2025-09-22,3.429,4.009,3,0.863,0.951,26.6,29.68,0.055,0.525,0.004,1,Leans stalls,no,"Up 3.4 sigma on 4.0x volume, 3 quiet days holding 95%. For: beat SPY. Against: closed away from the top of its range, volume stayed heavy."
CART,-1.0,2025-09-19,-3.575,4.061,4,0.729,0.767,41.66,43.0,0.56,0.267,0.021,1,Leans stalls,no,"Down 3.6 sigma on 4.1x volume, 4 quiet days holding 77%. For: volume dried up. Against: closed away from the bottom of its range, beat SPY."
DRI,-1.0,2025-09-19,-3.169,3.301,4,0.588,0.714,177.141,182.453,0.777,0.488,0.013,1,Leans stalls,yes,"Down 3.2 sigma on 3.3x volume, 4 quiet days holding 71%. For: volume dried up. Against: closed away from the bottom of its range, beat SPY."
RDW,1.0,2025-09-23,2.781,3.36,2,0.542,0.766,8.675,10.06,0.206,0.788,-0.008,0,Stalls,no,"Up 2.8 sigma on 3.4x volume, 2 quiet days holding 77%. For: nothing. Against: closed away from the top of its range, volume stayed heavy, lagged SPY."
